"[run number]","population","[step]","ticks"
"3","1","28","28"
"12","1","30","30"
"5","1","34","34"
"6","1","29","29"
"10","1","31","31"
"8","1","33","33"
"1","1","30","30"
"4","1","33","33"
"11","1","31","31"
"7","1","29","29"
"9","1","34","34"
"13","1","30","30"
"2","1","32","32"
"15","1","29","29"
"14","1","33","33"
"16","1","32","32"
"18","1","30","30"
"21","1","24","24"
"24","1","29","29"
"23","1","31","31"
"19","1","28","28"
"17","1","30","30"
"20","1","33","33"
"28","1","25","25"
"26","1","28","28"
"27","1","25","25"
"22","1","30","30"
"25","1","29","29"
"31","1","34","34"
"33","1","32","32"
"30","1","24","24"
"36","1","28","28"
"34","1","25","25"
"40","1","34","34"
"32","1","33","33"
"29","1","26","26"
"38","1","31","31"
"35","1","32","32"
"39","1","30","30"
"37","1","31","31"
"47","1","25","25"
"46","1","31","31"
"42","1","33","33"
"45","1","27","27"
"50","1","32","32"
"48","1","30","30"
"41","1","30","30"
"43","1","28","28"
"49","1","27","27"
"44","1","26","26"
"54","5","33","33"
"52","5","35","35"
"53","5","36","36"
"55","5","37","37"
"57","5","36","36"
"59","5","37","37"
"51","5","38","38"
"58","5","40","40"
"61","5","35","35"
"62","5","35","35"
"60","5","34","34"
"63","5","35","35"
"56","5","34","34"
"66","5","36","36"
"67","5","36","36"
"68","5","37","37"
"65","5","35","35"
"72","5","35","35"
"70","5","35","35"
"71","5","35","35"
"69","5","35","35"
"64","5","37","37"
"74","5","33","33"
"78","5","37","37"
"79","5","36","36"
"75","5","36","36"
"73","5","36","36"
"80","5","36","36"
"77","5","33","33"
"76","5","35","35"
"81","5","33","33"
"86","5","35","35"
"85","5","34","34"
"83","5","32","32"
"87","5","36","36"
"91","5","35","35"
"84","5","34","34"
"90","5","36","36"
"89","5","38","38"
"92","5","36","36"
"97","5","37","37"
"93","5","35","35"
"96","5","33","33"
"88","5","34","34"
"94","5","36","36"
"98","5","33","33"
"99","5","38","38"
"82","5","33","33"
"95","5","39","39"
"100","5","39","39"
"107","10","41","41"
"103","10","42","42"
"101","10","39","39"
"105","10","38","38"
"108","10","40","40"
"114","10","40","40"
"110","10","42","42"
"115","10","40","40"
"113","10","42","42"
"112","10","38","38"
"102","10","38","38"
"117","10","39","39"
"104","10","40","40"
"106","10","39","39"
"109","10","39","39"
"111","10","45","45"
"120","10","40","40"
"118","10","41","41"
"122","10","40","40"
"121","10","41","41"
"116","10","38","38"
"124","10","37","37"
"127","10","42","42"
"119","10","43","43"
"130","10","42","42"
"129","10","41","41"
"125","10","43","43"
"132","10","38","38"
"123","10","39","39"
"128","10","39","39"
"137","10","38","38"
"126","10","39","39"
"140","10","36","36"
"131","10","43","43"
"134","10","41","41"
"138","10","41","41"
"133","10","37","37"
"143","10","40","40"
"145","10","40","40"
"142","10","37","37"
"135","10","38","38"
"146","10","40","40"
"147","10","41","41"
"136","10","38","38"
"141","10","39","39"
"139","10","42","42"
"150","10","44","44"
"144","10","41","41"
"149","10","40","40"
"151","20","48","48"
"154","20","46","46"
"159","20","47","47"
"152","20","49","49"
"157","20","46","46"
"153","20","45","45"
"148","10","40","40"
"155","20","49","49"
"158","20","48","48"
"162","20","47","47"
"156","20","48","48"
"160","20","45","45"
"163","20","47","47"
"168","20","49","49"
"166","20","45","45"
"165","20","46","46"
"164","20","47","47"
"161","20","45","45"
"167","20","46","46"
"169","20","45","45"
"170","20","51","51"
"173","20","46","46"
"171","20","48","48"
"174","20","48","48"
"172","20","49","49"
"175","20","45","45"
"176","20","49","49"
"178","20","46","46"
"177","20","48","48"
"179","20","47","47"
"180","20","47","47"
"181","20","51","51"
"184","20","46","46"
"183","20","45","45"
"187","20","47","47"
"182","20","45","45"
"185","20","49","49"
"188","20","48","48"
"189","20","47","47"
"186","20","48","48"
"190","20","47","47"
"194","20","49","49"
"195","20","47","47"
"191","20","47","47"
"193","20","47","47"
"200","20","47","47"
"192","20","46","46"
"197","20","48","48"
"198","20","45","45"
"199","20","46","46"
"196","20","46","46"
"203","50","63","63"
"210","50","62","62"
"202","50","63","63"
"201","50","66","66"
"205","50","63","63"
"206","50","64","64"
"212","50","62","62"
"208","50","65","65"
"209","50","63","63"
"204","50","64","64"
"211","50","64","64"
"213","50","65","65"
"207","50","69","69"
"214","50","62","62"
"220","50","64","64"
"215","50","65","65"
"218","50","65","65"
"219","50","66","66"
"216","50","63","63"
"221","50","65","65"
"222","50","63","63"
"224","50","64","64"
"223","50","64","64"
"217","50","63","63"
"225","50","65","65"
"226","50","62","62"
"227","50","65","65"
"230","50","63","63"
"231","50","62","62"
"228","50","70","70"
"233","50","65","65"
"232","50","69","69"
"229","50","63","63"
"235","50","64","64"
"238","50","62","62"
"234","50","63","63"
"240","50","62","62"
"237","50","63","63"
"236","50","63","63"
"241","50","65","65"
"242","50","66","66"
"239","50","62","62"
"244","50","63","63"
"245","50","67","67"
"246","50","61","61"
"243","50","63","63"
"248","50","67","67"
"247","50","62","62"
"249","50","63","63"
"250","50","63","63"
"253","100","90","90"
"251","100","88","88"
"252","100","90","90"
"255","100","88","88"
"259","100","86","86"
"258","100","85","85"
"254","100","93","93"
"256","100","86","86"
"257","100","88","88"
"261","100","84","84"
"260","100","90","90"
"262","100","88","88"
"263","100","86","86"
"266","100","85","85"
"267","100","88","88"
"265","100","86","86"
"269","100","94","94"
"268","100","89","89"
"264","100","88","88"
"270","100","90","90"
"272","100","87","87"
"273","100","90","90"
"271","100","88","88"
"274","100","92","92"
"275","100","85","85"
"279","100","87","87"
"277","100","84","84"
"280","100","92","92"
"281","100","92","92"
"278","100","92","92"
"276","100","93","93"
"282","100","86","86"
"283","100","95","95"
"284","100","87","87"
"285","100","87","87"
"286","100","94","94"
"288","100","92","92"
"290","100","84","84"
"287","100","87","87"
"289","100","94","94"
"291","100","85","85"
"293","100","92","92"
"295","100","86","86"
"294","100","85","85"
"296","100","92","92"
"292","100","95","95"
"297","100","88","88"
"298","100","86","86"
"300","100","97","97"
"299","100","92","92"
"301","200","136","136"
"302","200","141","141"
"304","200","134","134"
"305","200","134","134"
"303","200","136","136"
"306","200","137","137"
"307","200","133","133"
"308","200","139","139"
"311","200","141","141"
"310","200","145","145"
"309","200","132","132"
"312","200","129","129"
"314","200","139","139"
"315","200","132","132"
"316","200","137","137"
"313","200","131","131"
"317","200","133","133"
"318","200","132","132"
"319","200","133","133"
"320","200","135","135"
"321","200","132","132"
"322","200","130","130"
"324","200","140","140"
"323","200","133","133"
"326","200","141","141"
"328","200","132","132"
"329","200","134","134"
"327","200","145","145"
"325","200","133","133"
"331","200","133","133"
"333","200","134","134"
"332","200","139","139"
"330","200","140","140"
"334","200","150","150"
"335","200","135","135"
"336","200","145","145"
"337","200","139","139"
"338","200","132","132"
"339","200","136","136"
"343","200","137","137"
"342","200","132","132"
"344","200","136","136"
"345","200","133","133"
"340","200","137","137"
"341","200","134","134"
"346","200","139","139"
"347","200","152","152"
"348","200","137","137"
"350","200","138","138"
"349","200","136","136"
